osm_type,osm_id,kind,name,brand,operator,addr_full,addr_street,addr_city,addr_postcode,opening_hours,phone,website,lat,lon,nearest_charger_km,site_score
node,349294965,fuel_agil,عجيل حاسي عمر,Agil,الشركة الوطنية لتوزيع البترول,,,حاسي عمر,,,,,33.3639001,10.6149399,164.62381679496056,164.82381679496055
node,9360073778,fuel_agil,عجيل سبيطلة,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,35.2302476,9.1309455,154.97264137906555,155.17264137906554
node,7468425223,fuel_agil,عجيل,Agil,,,,,,,,,33.4980798,11.092232,152.1386700930102,152.3386700930102
node,3798270019,fuel_agil,Agil Sidi Ali Ben Aoun,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,34.8501196,9.1428383,148.01272321005612,148.2127232100561
node,9385815198,fuel_agil,عجيل,Agil,,,,,,,,,35.9456848,8.830864,146.95720308250657,147.15720308250656
node,2296149338,fuel_agil,Agil Mareth,Agil,,,,,,,,,33.6375203,10.2827955,140.77169058734796,140.97169058734795
node,2876214407,fuel_agil,Agil Cebbala,Agil,,,,,,,,,35.1755813,9.2841923,139.9321297909493,140.13212979094928
node,7468425241,fuel_agil,El Ala,Agil,,,,,,,,,35.6186454,9.5623974,136.84026794551153,137.04026794551152
node,7468425226,fuel_agil,عجيل,Agil,,,,,,,,,33.8961703,9.8110116,136.5917450764795,136.7917450764795
node,3201919571,fuel_agil,AGIL Jelma,عجيل,,,,Jelma,,,,,35.2698144,9.4181454,131.5905229072954,131.79052290729538
node,7468425228,fuel_agil,عجيل,Agil,,,,,,,,,33.7570389,10.2053799,130.8399559963661,131.03995599636607
node,9037886330,fuel_agil,عجيل,Agil,,,,,,,,,35.4022795,9.51789,129.5353460379431,129.7353460379431
node,352839783,fuel_agil,Agil El Jorf,Agil,عجيل,,,الجرف,,,,,33.6972704,10.731727,127.01232214569228,127.21232214569228
node,9366250227,fuel_agil,عجيل,Agil,,,,,,,,,34.5729936,9.413977,126.97014368012394,127.17014368012394
node,7468425229,fuel_agil,عجيل,Agil,,,,,,,,,33.8355803,10.1204261,126.30558770777543,126.50558770777543
node,9360947233,fuel_agil,عجيل,Agil,,,,جندوبة,,,,,36.5185419,8.7552124,124.72825123240543,124.92825123240543
